,RequestNumAppName,FeatureRequest,Reasons,MissingInformation,ClarificationQuestions,PromptForGeneration
0,42-Mastodon,"Request Number - 42 | Request Title - Make view from timeline back | Request Description - I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.",The request is missing information and details. ,['It is not clear where the requested view should be implemented in the app. '],['Where do you need this view to show?'],"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 42 | Request Title - Make view from timeline back | Request Description - I like this , because it makes me feel I am not alone on then earth. Every time I view the post from different from the timeline, I can feel they are all alive, not only me. Every time, every second, I can meet new friend, maybe he is in Japan, having dinner, or In French. Now the feature of viewing from timeline is not in mastondon-android. I like the hot trending, then I can know what people are talking now. But I feel lonely when use your app. I find out that it is because I cannot always read a new post, cannot always know who may be will be my friend, what he is doing ,worring. So I need this feature.
####
Reason: The request is missing information and details. 
####
Missing Information: ['It is not clear where the requested view should be implemented in the app. ']
####
Clarifying Question(s): "
1,650-Signal,Request Number - 650 | Request Title - Disable SMS only on out-of-country contacts | Request Description - This is a feature request. It would be very handy if I can enable SMS fallback only for the contacts in my country but disable them for contacts out of my country. Usually out-of-country SMS rates are quite high and can run up quite a bill if you have the feature enabled to fallback on SMS. Thanks.,The request is missing several elements defining how the feature should be implemented and what metric should be used for determining when the feature should be active or inactive.,"['Should this be an automatic change to how SMS fallback is enacted, or an additional sub-setting of SMS fallback?', "" Should this be based solely on the sender's location (i.e. in the same country as their cellular provider), or both the sender and recipient?"", ' What method is being used to determine when a contact is out-of-country (e.g. country code on phone number, current cell tower visitor registry location)?']","['Should this be an automatic change to how SMS fallback is enacted, or an additional sub-setting of SMS fallback?', "" Should this be based solely on the sender's location (i.e. in the same country as their cellular provider), or both the sender and recipient?"", ' What method is being used to determine when a contact is out-of-country (e.g. country code on phone number, current cell tower visitor registry location)?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 650 | Request Title - Disable SMS only on out-of-country contacts | Request Description - This is a feature request. It would be very handy if I can enable SMS fallback only for the contacts in my country but disable them for contacts out of my country. Usually out-of-country SMS rates are quite high and can run up quite a bill if you have the feature enabled to fallback on SMS. Thanks.
####
Reason: The request is missing several elements defining how the feature should be implemented and what metric should be used for determining when the feature should be active or inactive.
####
Missing Information: ['Should this be an automatic change to how SMS fallback is enacted, or an additional sub-setting of SMS fallback?', "" Should this be based solely on the sender's location (i.e. in the same country as their cellular provider), or both the sender and recipient?"", ' What method is being used to determine when a contact is out-of-country (e.g. country code on phone number, current cell tower visitor registry location)?']
####
Clarifying Question(s): "
2,6457-Signal,"Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0","The author explains that they wish for redundant GUI elements to be removed, but not which of the elements should be selected to remain.",['Which existing method the author prefers to remain'],"['Of the buttons described, which one should be left as the only way to open/close the attachment window?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 6457 | Request Title - Use single button to open attachment window. | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. In the conversation window, there are 3 ways to open/close the attachment window. Steps to reproduce. The paperclip will open and close the attachment window. The green down arrow (that is visible in the attachment window) will close the attachment window. The ellipses in the upper right of the conversation window have an option to open the attachment window. Actual result: As described above. Expected result: From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window. Screenshots. See the thread on Discourse Hosting for screenshots and discussion of alternatives. Device info. Device: Moto X Pure Edition Android version: 6.0.0 Signal version: 4.1.0
####
Reason: The author explains that they wish for redundant GUI elements to be removed, but not which of the elements should be selected to remain.
####
Missing Information: ['Which existing method the author prefers to remain']
####
Clarifying Question(s): "
3,916-Signal,"Request Number - 916 | Request Title - Allow to set and sync Contact Pictures | Request Description - Allow users to set their own contact picture and sync it to other TextSecure users. In contrast to WhatsApp, provide those pictures to the system contact list to be used in any app, including but not limited to TextSecure. Is this possible using a SyncAdapter ( #890 ) coupled with a ContentProvider?","The feature request nominalizes the processes of sync'ing and sharing data between applications, resulting in incomplete information about how the processes should be initiated or managed.","['How should the sync between users be managed? Should it be automatic to contacts, automatic to everyone, automatic via an opt-in setting, manually accessed per-contact?', ' Should contact pictures be stored on a server or pushed by individual user?', ' Should transferring TextSecure pictures to the system contact list be automatic? Manually triggered? Done on a per-contact basis? ']","['How should the sync between users be managed? Should it be automatic to contacts, automatic to everyone, automatic via an opt-in setting, manually accessed per-contact?', ' Should contact pictures be stored on a server or pushed by individual user?', ' Should transferring TextSecure pictures to the system contact list be automatic? Manually triggered? Done on a per-contact basis? ']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 916 | Request Title - Allow to set and sync Contact Pictures | Request Description - Allow users to set their own contact picture and sync it to other TextSecure users. In contrast to WhatsApp, provide those pictures to the system contact list to be used in any app, including but not limited to TextSecure. Is this possible using a SyncAdapter ( #890 ) coupled with a ContentProvider?
####
Reason: The feature request nominalizes the processes of sync'ing and sharing data between applications, resulting in incomplete information about how the processes should be initiated or managed.
####
Missing Information: ['How should the sync between users be managed? Should it be automatic to contacts, automatic to everyone, automatic via an opt-in setting, manually accessed per-contact?', ' Should contact pictures be stored on a server or pushed by individual user?', ' Should transferring TextSecure pictures to the system contact list be automatic? Manually triggered? Done on a per-contact basis? ']
####
Clarifying Question(s): "
4,77-Signal,"Request Number - 77 | Request Title - Display all recipients for group thread. | Request Description - After creating a bulk message, the recipients are not easily listed anywhere. The contacts are listed, but after the first few it gets cut. you can check the details of each message sent but that's slow. Please make an option included in a bulk sms message with easily displays the currently included recipients. So I know who any future messages will be sent in bulk too. adding/removing people would be overkill.. but having a nice list would be awesome.",The feature request is missing information about the accessibility and execution of the display task that makes it difficult to implement the request without further clarifications.,"['How and where in the user GUI should this option be made accessible?', ' Should this information be displayed in the same view or a new view when accessed?']","['How and where in the user interface should this option be made accessible?', ' Should this information be displayed in the same view or create a new view when accessed?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 77 | Request Title - Display all recipients for group thread. | Request Description - After creating a bulk message, the recipients are not easily listed anywhere. The contacts are listed, but after the first few it gets cut. you can check the details of each message sent but that's slow. Please make an option included in a bulk sms message with easily displays the currently included recipients. So I know who any future messages will be sent in bulk too. adding/removing people would be overkill.. but having a nice list would be awesome.
####
Reason: The feature request is missing information about the accessibility and execution of the display task that makes it difficult to implement the request without further clarifications.
####
Missing Information: ['How and where in the user GUI should this option be made accessible?', ' Should this information be displayed in the same view or a new view when accessed?']
####
Clarifying Question(s): "
5,801-Signal,"Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.","The scope of muting, the behavior when muted, and other expectations required to implement the requested feature aren't provided in the text.","['Where in the interface should this feature be accessed?', ' Should a new view be created to allow specifying the number of minutes, or should there be a default value(s)?', ' Is this mute intended to be universal to all notifications or does it need to be activated on a by-user/group basis?', ' What behavior should occur at the end of the mute period?', ' Should muting block the receipt of messages or just notifications?']","['Where in the interface should this feature be accessed?', ' Should a new view be created to allow specifying the number of minutes, or should there be a default value(s)?', ' Is this mute intended to be universal to all notifications or does it need to be activated on a by-user/group basis?', ' What behavior should occur at the end of the mute period?', ' Should muting block the receipt of messages or just notifications?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.
####
Reason: The scope of muting, the behavior when muted, and other expectations required to implement the requested feature aren't provided in the text.
####
Missing Information: ['Where in the interface should this feature be accessed?', ' Should a new view be created to allow specifying the number of minutes, or should there be a default value(s)?', ' Is this mute intended to be universal to all notifications or does it need to be activated on a by-user/group basis?', ' What behavior should occur at the end of the mute period?', ' Should muting block the receipt of messages or just notifications?']
####
Clarifying Question(s): "
6,3446-Signal,"Request Number - 3446 | Request Title - Let me aggressively invite non-textsecure friends | Request Description - I just set Textsecure as my default SMS app on Android. Every time I send an unconventional SMS, I'd like to invite these users to install Textsecure/Signal, because I want more of my friends to be able to have private conversations with me. I also want Textsecure to spread organically because I think that'd be good for the world! I'd like a preference that would append short invite text and an invite link to every message provided there are enough characters, for example: ""Let's speak privately! SHORTLINK"" or ""Get privacy: SHORTLINK"" or ""Get this! SHORTLINK"" Ideally you'd experiment and figure out whatever text worked the best. For any user that sets their default SMS app as textsecure/signal, you should ask them if they'd like to turn this on.","The feature request nominalizes the process of determining the effectiveness of advertisements and the usage of links, and does not specify behavior for when advertisement conditions aren't met, resulting in missing information a developer may want in order to implement the feature to the author's expectations.","['How/when should this prompt be given to users to enable this feature? (Once upon changing default SMS application, each time opening the app, etc.)', ' What should the ""shortlink"" point to? The app store page? The product website? Something else?', "" Should there be other behaviors when there aren't enough characters for the full advertisement?"", ' Should Signal be tracking user analytics to determine effectiveness of these advertisements?']","['How/when should this prompt be given to users to enable this feature? (Once upon changing default SMS application, each time opening the app, etc.)', ' What should the ""shortlink"" point to? The app store page? The product website? Something else?', "" Should there be other behaviors when there aren't enough characters for the full advertisement?"", ' Should Signal be tracking user analytics to determine effectiveness of these advertisements?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 3446 | Request Title - Let me aggressively invite non-textsecure friends | Request Description - I just set Textsecure as my default SMS app on Android. Every time I send an unconventional SMS, I'd like to invite these users to install Textsecure/Signal, because I want more of my friends to be able to have private conversations with me. I also want Textsecure to spread organically because I think that'd be good for the world! I'd like a preference that would append short invite text and an invite link to every message provided there are enough characters, for example: ""Let's speak privately! SHORTLINK"" or ""Get privacy: SHORTLINK"" or ""Get this! SHORTLINK"" Ideally you'd experiment and figure out whatever text worked the best. For any user that sets their default SMS app as textsecure/signal, you should ask them if they'd like to turn this on.
####
Reason: The feature request nominalizes the process of determining the effectiveness of advertisements and the usage of links, and does not specify behavior for when advertisement conditions aren't met, resulting in missing information a developer may want in order to implement the feature to the author's expectations.
####
Missing Information: ['How/when should this prompt be given to users to enable this feature? (Once upon changing default SMS application, each time opening the app, etc.)', ' What should the ""shortlink"" point to? The app store page? The product website? Something else?', "" Should there be other behaviors when there aren't enough characters for the full advertisement?"", ' Should Signal be tracking user analytics to determine effectiveness of these advertisements?']
####
Clarifying Question(s): "
7,176-Signal,"Request Number - 176 | Request Title - Feature: Automatic deletion of old messages | Request Description - In the spirit of https://ssd.eff.org/your-computer/protect/retention having deletion of messages older than a certain amount is probably good practice. I previously used an automated tool to delete SMS messages older than 30 days, but since TextSecure uses its own database, this no longer works. Having the option for TextSecure to delete messages older than X (reuse of the passphrase timeout selector would be fine) would be highly helpful.",Missing information about the backups. ,['It is not clear whether the text should also be deleted from the backup storages or not. '],"['The messages can also be stored on backup tapes or storage files, are you suggesting to deleted the backups using the same timeline?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 176 | Request Title - Feature: Automatic deletion of old messages | Request Description - In the spirit of https://ssd.eff.org/your-computer/protect/retention having deletion of messages older than a certain amount is probably good practice. I previously used an automated tool to delete SMS messages older than 30 days, but since TextSecure uses its own database, this no longer works. Having the option for TextSecure to delete messages older than X (reuse of the passphrase timeout selector would be fine) would be highly helpful.
####
Reason: Missing information about the backups. 
####
Missing Information: ['It is not clear whether the text should also be deleted from the backup storages or not. ']
####
Clarifying Question(s): "
8,778-Signal,"Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.","Insufficient information is provided on where in the user interface the menu option should be deployed, the specificity of the implementation, and which of the two suggested changes the menu option should affect.","[""In which menu should this option be presented (e.g. in each group's settings menu, in the app's global menu, etc.)?"", ' Of the two changes requested, should menu options be added for one or both of them?']","[""In which menu should this option be presented (e.g. in each group's settings menu, in the app's global menu, etc.)?"", ' Of the two changes requested (notification sounds and preferred timestamp), should menu options be added for one or both of them?']","Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Reason: Insufficient information is provided on where in the user interface the menu option should be deployed, the specificity of the implementation, and which of the two suggested changes the menu option should affect.
####
Missing Information: [""In which menu should this option be presented (e.g. in each group's settings menu, in the app's global menu, etc.)?"", ' Of the two changes requested, should menu options be added for one or both of them?']
####
Clarifying Question(s): "
9,592-Signal,"Request Number - 592 | Request Title - Feature - Emoji | Request Description - I hate emoji, but this guy on this issue requested it and I figure I'll help him/you out by making a new issue/feature request.","The feature request does not include an actual request, but instead just a reference to another person making a request. Information about the other person's request is required for this feature request to be actionable.",['What is the request being made by the other person?'],['What is the request being made by the other person?'],"Incompleteness: Missing information and lack of details regarding different parts of the feature request
You are a software analyst specializing in incompleteness resolution in GitHub feature requests.
Carefully read the provided statement along with the missing information and the reasoning behind why the statement is considered incomplete. Based on the information, generate clear and concise clarification questions aimed at addressing the incompleteness in the statement; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason for incompleteness, missing information, and clarifying questions are separated using the trigger word ####.  Strictly follow the provided demonstration.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Reason: Information is missing as to the author's expectations for the feature's implementation
####
Missing Information: ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What constitutes 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
####
Clarifying Question(s): ['Where should this view be accessed?', ' What content should be displayed on the timeline?', "" What users constitute 'local', 'federated', and 'neither' in regard to the aforementioned content?""]
# END
Request Number - 592 | Request Title - Feature - Emoji | Request Description - I hate emoji, but this guy on this issue requested it and I figure I'll help him/you out by making a new issue/feature request.
####
Reason: The feature request does not include an actual request, but instead just a reference to another person making a request. Information about the other person's request is required for this feature request to be actionable.
####
Missing Information: ['What is the request being made by the other person?']
####
Clarifying Question(s): "
