,App-RequestNumber,DefectClass,GroundTruth,Prompts
0,7310-Signal,{'Pragmatic': 3},Extracted vagueness ambiguity segment(s): No Defect Found,"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 7310 | Request Title - Feature: add support for custom url sceme signal:// so we can have share buttons | Request Description - [x ] searched open and closed issues for duplicates [x ] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I maintain a website, and I would love to put signal share buttons on my articles. To do so, there needs to be a way to point to the signal app from webpages. The manner to do this without many compatibility issues is a custom url sceme: signal:// I know, custom url scemes could be considered bad practice since they pollude the namespace. I agree, but for now signal can't compete with other social media from a buisness standpoint because of missing features like these. This may keep a lot of people from using signal as their favorite messenger app. (world domination is not the goal, but we don't want to shoot ourselfs in the foot either, private messaging will only happen if your contacts are also willing to accept signal on their phone.) Lets consider having share buttons on websites. A custom url sceme would be a good start to make that possible. <a href=""signal://send?text=Hello%2C%20World!"">Send message to Signal Private Messenger</a> Read more about this here
####

Extracted vagueness ambiguity segment(s): "
1,895-Signal,O,Extracted vagueness ambiguity segment(s): No Defect Found,"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 895 | Request Title - Feature request: Add an option for 'Delayed Sending' | Request Description - I would like a 'Delayed Sending' option to be added to the settings. This is very useful in case you left an embarrassing typo, forgot something important or if you just change your mind and don't want to send the message. Both Chomp SMS and Handcent SMS have this excellent feature. Delay options from 1 to 5 seconds should be enough. Thanks!
####

Extracted vagueness ambiguity segment(s): "
2,176-Signal,O,Extracted vagueness ambiguity segment(s): No Defect Found,"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 176 | Request Title - Feature: Automatic deletion of old messages | Request Description - In the spirit of https://ssd.eff.org/your-computer/protect/retention having deletion of messages older than a certain amount is probably good practice. I previously used an automated tool to delete SMS messages older than 30 days, but since TextSecure uses its own database, this no longer works. Having the option for TextSecure to delete messages older than X (reuse of the passphrase timeout selector would be fine) would be highly helpful.
####

Extracted vagueness ambiguity segment(s): "
3,587-Signal,"{'Lexical': 1, 'Vagueness': 2, 'Syntactic': 1}","Extracted vagueness ambiguity segment(s): ['easily found', 'handy']","Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####

Extracted vagueness ambiguity segment(s): "
4,316-Signal,"{'Lexical': 1, 'Vagueness': 1, 'Pragmatic': 1}",Extracted vagueness ambiguity segment(s): ['properly'],"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 316 | Request Title - Feature request: Allow sharing Android calendar events via TextSecure | Request Description - Originally a bug, which should have been titled ""Shared calendar events are not actually attached."" The fix in #1025 removed TS from the ""share with"" list of calendar events, so no longer a bug, but would like to be able to share calendar events via TS, same as can be done with default Android text app. Original (bug) text: Android default Calendar app lets you send a calendar entry. TextSecure is one of the apps that comes up as an option to use for sending. Choosing it, you get to TextSecure, but there is no attachment, just an empty message. (If you choose the regular default Android Text Messaging app, the calendar entry does get properly attached, which is why I suspect the issue is with TextSecure.) Only tried doing this from Calendar, don't know if it's an issue sending via TextSecure from other apps.
####

Extracted vagueness ambiguity segment(s): "
5,4049-Signal,{'Lexical': 1},Extracted vagueness ambiguity segment(s): No Defect Found,"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 4049 | Request Title - delivery indicator in conversation list item | Request Description - the conversation summary should show the most recent message's delivery status if it's outgoing
####

Extracted vagueness ambiguity segment(s): "
6,801-Signal,"{'Semantic': 1, 'Lexical': 1}",Extracted vagueness ambiguity segment(s): No Defect Found,"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.
####

Extracted vagueness ambiguity segment(s): "
7,1173-Signal,O,Extracted vagueness ambiguity segment(s): No Defect Found,"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 1173 | Request Title - Add ""Don't show again"" checkbox to thumbnail dialogs | Request Description - To improve the usability, the thumbnail dialogs (open and save) should contain a ""Don't show again"" checkbox so that the user isn't bothered again. The idea is, that the user understands that there might be a little risk in opening or saving an attached image, but doesn't want to see this warning again and again. Most users expect that the image instantly shows up. So it is nice to have this warning message, but there should be the possibility to disable it.
####

Extracted vagueness ambiguity segment(s): "
8,5934-Signal,O,Extracted vagueness ambiguity segment(s): No Defect Found,"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 5934 | Request Title - Enable image viewing in immersive mode | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It would be nice to be able to view images in immersive mode, i.e. with the the app bar, the status bar and the navigation bar being hidden. Documentation on immersive mode: https://developer.android.com/training/system-ui/immersive.html
####

Extracted vagueness ambiguity segment(s): "
9,6592-Signal,"{'Vagueness': 1, 'Syntactic': 1}",Extracted vagueness ambiguity segment(s): ['nasty things'],"Vagueness: A statement is considered vague if it admits borderline cases. A requirement is vague if it is not clear how to measure whether the requirement is fulfilled or not.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Vagueness from the statement. Multiple segments may contain Vagueness; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 778 | Request Title - Feature Request: Only one notification for multiple messages received at once + Timestamps | Request Description - After being offline (flight mode / no internet connection) my device rings/vibrates multiple times, depending on how many messages have been sent by others in the meantime. Being in a quite active group my device vibrated for about 30 seconds this morning. I can see the point of being notified that not only one but multiple messages have been received but this should be reworked to a less annoying way (e.g., ring twice for multiple messages). Additionally, all messages that get then received are displayed with their receiving time. I would prefer having them displayed with the sending time, which can also be seen by looking in the message details. Maybe a menu entry to switch between both options would be a good idea because I can imagine people who like it the way it is handled now.
####
Extracted vagueness ambiguity segment(s): ['less annoying way']
# END
Statement: Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed
####
Extracted vagueness ambiguity segment(s): ['large']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted vagueness ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####

Extracted vagueness ambiguity segment(s): "
