,RequestNumAppName,FeatureRequest,TextAnnotation-GT,Questions,Questions-List,PromptForGeneration
13,6362-Signal,"Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.",of contacts,"When you wrote ""of contacts I still need to convince to convert"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?","['When you wrote ""of contacts I still need to convince to convert"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.
####
Reason: A word may have been omitted for brevity that provides context, and assumptions made in its absence create multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: of contacts
####
Clarifying Question(s): "
17,7567-Signal,"Request Number - 7567 | Request Title - [Feature Request] SMS/Signal Notifications profile | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/signalapp/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. When making Signal as default SMS manager, there is no way to have default SMS notification (Android settings) to be enforced and having the Signal notification settings just for Signal message/call only. Steps to reproduce.  Install Signal and enable SMS support. Actual result: The same Expected result: Use Android notification profile for regular SMS/MMS and use Signal settings for secure messages / call. I use Signal with a limited number of people and I wish to know the difference between regular SMS or secured one by the ringtone (secure messages are mostly more urgent than other SMS). Screenshots. Device info. Device: BlackBerry Motion Android version: 7.1.2 Signal version: 4.16.9 Link to debug log.",The same,"Can you explain what you mean by ""actual results: the same""?","['Can you explain what you mean by ""actual results: the same""?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 7567 | Request Title - [Feature Request] SMS/Signal Notifications profile | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/signalapp/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. When making Signal as default SMS manager, there is no way to have default SMS notification (Android settings) to be enforced and having the Signal notification settings just for Signal message/call only. Steps to reproduce.  Install Signal and enable SMS support. Actual result: The same Expected result: Use Android notification profile for regular SMS/MMS and use Signal settings for secure messages / call. I use Signal with a limited number of people and I wish to know the difference between regular SMS or secured one by the ringtone (secure messages are mostly more urgent than other SMS). Screenshots. Device info. Device: BlackBerry Motion Android version: 7.1.2 Signal version: 4.16.9 Link to debug log.
####
Reason:  An ellipsis is a gap in a sentence cause by omission of a lexically or syntactically necessary constituent.
Elliptical ambiguity occurs when it is not certain whether or not a sentence contains an ellipsis. In this case, ""the same"" seems to be cut off and it is not clear the results is the same to what?
####
Extracted Syntactic ambiguity segment: The same
####
Clarifying Question(s): "
19,802-Signal,"Request Number - 802 | Request Title - Feature Request: import and export keys to file, Bluetooth, QR, and NFC | Request Description - more specificly I'd like to be able to import and export the private key, and public keys to files. I'd also like to be able to import and export public keys via bluetooth, NFC, and QR code. Something like this: https://play.google.com/store/apps/details?id=org.sufficientlysecure.keychain The do key management pretty well, for GPG. (sadly no one writes apps that use their wonderful app, but seriously, best key management app there is.) its also open source, I wonder if you could steal some code from them, and use their key management interface. Reasons I need this new phone, I need to securely wipe the old key, export the old key to a file, and then re-import it. Lost phone, in case I loose my phone, I can reuse the same gpg key. Device immaterial - once I have a back up file of the private key, I can store that on an encrypted parition, or container, and bounce that around as I see fit between devices, PCs, internet storage, etc.. I can then bring it back when I need it. I can also switch between phones at will. For public keys. in addition to reasons 1-3, having a good back up of my friend's public keys, I can easily re-import them, and share them with other people as needed, to make the fewest amounts of key exchanges needed. I can set up phones for people with all the public keys they need. just load them up, and go. This would just make an already good app fucking awesome.","import and export the private key, and public keys to files.",How do you want to export keys to files? How do you want to import keys from files?,['How do you want to export keys to files? How do you want to import keys from files?'],"Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 802 | Request Title - Feature Request: import and export keys to file, Bluetooth, QR, and NFC | Request Description - more specificly I'd like to be able to import and export the private key, and public keys to files. I'd also like to be able to import and export public keys via bluetooth, NFC, and QR code. Something like this: https://play.google.com/store/apps/details?id=org.sufficientlysecure.keychain The do key management pretty well, for GPG. (sadly no one writes apps that use their wonderful app, but seriously, best key management app there is.) its also open source, I wonder if you could steal some code from them, and use their key management interface. Reasons I need this new phone, I need to securely wipe the old key, export the old key to a file, and then re-import it. Lost phone, in case I loose my phone, I can reuse the same gpg key. Device immaterial - once I have a back up file of the private key, I can store that on an encrypted parition, or container, and bounce that around as I see fit between devices, PCs, internet storage, etc.. I can then bring it back when I need it. I can also switch between phones at will. For public keys. in addition to reasons 1-3, having a good back up of my friend's public keys, I can easily re-import them, and share them with other people as needed, to make the fewest amounts of key exchanges needed. I can set up phones for people with all the public keys they need. just load them up, and go. This would just make an already good app fucking awesome.
####
Reason: More than one conjunction (""and"") is used in the sentence. 
####
Extracted Syntactic ambiguity segment: import and export the private key, and public keys to files.
####
Clarifying Question(s): "
4,7345-Signal,"Request Number - 7345 | Request Title - Better Media Saving Behavior | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. One of the features that was missing for a long time but thankfully has been recently implemented was the ability to swipe through the images without having to keep going back to the index and always having it start at the top. Kudos and thanks for that. However, another element exists that can be greatly improved and probably just got missed; and hopefully can be added. Currently each picture (""media"") provides you the save button on the top. However, it never detects that the item has already been saved and you have to just remember it or go check your on device gallery to see if it is already there. Instead, it simply keeps making duplicates of the item and just incrementing it. It would't be too difficult to do a simple if/exists > show view/share icon else/doesn't > show save icon (as it is now). This will spare the need to save multiple duplicates and incrementing it when you can simply provide a visual check that it has already been saved. It is simply better UX and cleaner that way. Steps to reproduce.  save an item save it again you have a duplicate with a -1 at the end save it again you now have 3 with a -1 and -2 of the same item repeat and goes on as long as you keep saving Expected result: Detect that the item has already been saved and either provide a view icon or share icon to visually indicate it has been saved already, otherwise show the save button. A simple file system check for the item will facilitate this. Thanks in advance.",without having to keep going back to the index and always having it start at the top.,Can you explain in more detail how to swipe between different images?,['Can you explain in more detail how to swipe between different images?'],"Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 7345 | Request Title - Better Media Saving Behavior | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. One of the features that was missing for a long time but thankfully has been recently implemented was the ability to swipe through the images without having to keep going back to the index and always having it start at the top. Kudos and thanks for that. However, another element exists that can be greatly improved and probably just got missed; and hopefully can be added. Currently each picture (""media"") provides you the save button on the top. However, it never detects that the item has already been saved and you have to just remember it or go check your on device gallery to see if it is already there. Instead, it simply keeps making duplicates of the item and just incrementing it. It would't be too difficult to do a simple if/exists > show view/share icon else/doesn't > show save icon (as it is now). This will spare the need to save multiple duplicates and incrementing it when you can simply provide a visual check that it has already been saved. It is simply better UX and cleaner that way. Steps to reproduce.  save an item save it again you have a duplicate with a -1 at the end save it again you now have 3 with a -1 and -2 of the same item repeat and goes on as long as you keep saving Expected result: Detect that the item has already been saved and either provide a view icon or share icon to visually indicate it has been saved already, otherwise show the save button. A simple file system check for the item will facilitate this. Thanks in advance.
####
Reason: The placement of ""without"" with ""and"" can cause two different grouping options which implies syntactic ambiguity. 
####
Extracted Syntactic ambiguity segment: without having to keep going back to the index and always having it start at the top.
####
Clarifying Question(s): "
1,587-Signal,Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?,share your app?,"When you wrote ""share your app"", did you mean ""share (usage of) your app"", ""share (awareness of) your app"", or something else?","['When you wrote ""share your app"", did you mean ""share (usage of) your app"", ""share (awareness of) your app"", or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: A word may have been omitted for brevity that could change the interpretation of the sentence, creating multiple possible meanings.
####
Extracted Syntactic ambiguity segment: share your app?
####
Clarifying Question(s): "
21,170-Mastodon,Request Number - 170 | Request Title - Option to hide reblogs from people you follow | Request Description - In the dropdown on profiles.,from people you follow,"When you wrote ""hide reblogs from people you follow"", did you mean your reblogs are hidden from people you follow, reblogs from people you follow are hidden from you, or something else?","['When you wrote ""hide reblogs from people you follow"", did you mean your reblogs are hidden from people you follow, reblogs from people you follow are hidden from you, or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 170 | Request Title - Option to hide reblogs from people you follow | Request Description - In the dropdown on profiles.
####
Reason: The highlighted prepositional phrase can attach to multiple targets in the sentence, which creates multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: from people you follow
####
Clarifying Question(s): "
18,1504-Signal,Request Number - 1504 | Request Title - Notification Color for Individual Contacts or Groups | Request Description - how about we edit this one too?  or just delete it..... 🙈,Individual Contacts or Groups,Do you need this feature just for an individual group or groups?; Do you need this feature for an individual contact or a group of contacts?,"['Do you need this feature just for an individual group or groups?', ' Do you need this feature for an individual contact or a group of contacts?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 1504 | Request Title - Notification Color for Individual Contacts or Groups | Request Description - how about we edit this one too?  or just delete it..... 🙈
####
Reason: A conjunction ""or"" is used with a modifier ""individual,"" which triggers syntactic coordination ambiguity. As a result, the phrase ""individual contacts or groups"" can be parsed and grouped differently: ((individual contacts) or groups); (individual (contacts or groups)).
####
Extracted Syntactic ambiguity segment: Individual Contacts or Groups
####
Clarifying Question(s): "
14,6362-Signal,"Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.",convert.,"When you wrote ""convince to convert"", did you mean convert to using the Signal app, convert their contact relationship in another app to the Signal app, convert to the behavior of using encryption, or something else?","['When you wrote ""convince to convert"", did you mean convert to using the Signal app, convert their contact relationship in another app to the Signal app, convert to the behavior of using encryption, or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.
####
Reason: A word may have been omitted for brevity that provides context, and assumptions made in its absence create multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: convert.
####
Clarifying Question(s): "
22,170-Mastodon,Request Number - 170 | Request Title - Option to hide reblogs from people you follow | Request Description - In the dropdown on profiles.,In the dropdown on profiles.,"When you wrote ""In the dropdown on profiles"", did you mean the option should be added in the dropdown on individual profiles of people you follow, the option should be added in a view titled 'profiles', the option should be added to the dropdown in the 'profiles' section of the settings menu, there is an issue with the existing option located in the dropdown on profiles, or something else?","['When you wrote ""In the dropdown on profiles"", did you mean the option should be added in the dropdown on individual profiles of people you follow, the option should be added in a view titled \'profiles\', the option should be added to the dropdown in the \'profiles\' section of the settings menu, there is an issue with the existing option located in the dropdown on profiles, or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 170 | Request Title - Option to hide reblogs from people you follow | Request Description - In the dropdown on profiles.
####
Reason: Words have been omitted for brevity however assumptions about what those words may be can create multiple possible interpretations of the author's intent.
####
Extracted Syntactic ambiguity segment: In the dropdown on profiles.
####
Clarifying Question(s): "
16,7567-Signal,"Request Number - 7567 | Request Title - [Feature Request] SMS/Signal Notifications profile | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/signalapp/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. When making Signal as default SMS manager, there is no way to have default SMS notification (Android settings) to be enforced and having the Signal notification settings just for Signal message/call only. Steps to reproduce.  Install Signal and enable SMS support. Actual result: The same Expected result: Use Android notification profile for regular SMS/MMS and use Signal settings for secure messages / call. I use Signal with a limited number of people and I wish to know the difference between regular SMS or secured one by the ringtone (secure messages are mostly more urgent than other SMS). Screenshots. Device info. Device: BlackBerry Motion Android version: 7.1.2 Signal version: 4.16.9 Link to debug log.",secure messages / call.,"When you wrote ""secure messages / call"" did you mean secure messages and secure calls, secure messages and any calls, or something else?","['When you wrote ""secure messages / call"" did you mean secure messages and secure calls, secure messages and any calls, or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 7567 | Request Title - [Feature Request] SMS/Signal Notifications profile | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/signalapp/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. When making Signal as default SMS manager, there is no way to have default SMS notification (Android settings) to be enforced and having the Signal notification settings just for Signal message/call only. Steps to reproduce.  Install Signal and enable SMS support. Actual result: The same Expected result: Use Android notification profile for regular SMS/MMS and use Signal settings for secure messages / call. I use Signal with a limited number of people and I wish to know the difference between regular SMS or secured one by the ringtone (secure messages are mostly more urgent than other SMS). Screenshots. Device info. Device: BlackBerry Motion Android version: 7.1.2 Signal version: 4.16.9 Link to debug log.
####
Reason: A modifier is being used between a grouping of two words, which can be interpreted as applying to both words or just the first word, which creates multiple possible meanings.
####
Extracted Syntactic ambiguity segment: secure messages / call.
####
Clarifying Question(s): "
