,RequestNumAppName,FeatureRequest,TextAnnotation-GT,Questions,Questions-List,PromptForGeneration
5,3192-Signal,Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.,Remove the action bar in the view where you can inspect a received picture to enlarge the image.,How would you suggest enlarging the image? Is it a feature you request that should be implemented on an inspection menu or the action bar?,['How would you suggest enlarging the image? Is it a feature you request that should be implemented on an inspection menu or the action bar?'],"Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.
####
Reason: ""to enlarge the image"" can be attached to two different phrases.
####
Extracted Syntactic ambiguity segment: Remove the action bar in the view where you can inspect a received picture to enlarge the image.
####
Clarifying Question(s): "
1,587-Signal,Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?,share your app?,"When you wrote ""share your app"", did you mean ""share (usage of) your app"", ""share (awareness of) your app"", or something else?","['When you wrote ""share your app"", did you mean ""share (usage of) your app"", ""share (awareness of) your app"", or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: A word may have been omitted for brevity that could change the interpretation of the sentence, creating multiple possible meanings.
####
Extracted Syntactic ambiguity segment: share your app?
####
Clarifying Question(s): "
7,555-Signal,"Request Number - 555 | Request Title - Not working in dual sim phone | Request Description - My friend has a dual sim Lava iris 405 and i have samsung galaxy s3. we both have installed the TextSecure when i start secure session, it sends Key exchange message and its received in my friends. After that it says Received and processed key exchange message but he is unable to send me any message, it says error sending. i know its giving problem because its a dual sim phone, text secure app is not able to send sms from particular sim and giving this error. Is dual sim phone supported by textSecure?",friends.,No Questions,['No Questions'],"Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 555 | Request Title - Not working in dual sim phone | Request Description - My friend has a dual sim Lava iris 405 and i have samsung galaxy s3. we both have installed the TextSecure when i start secure session, it sends Key exchange message and its received in my friends. After that it says Received and processed key exchange message but he is unable to send me any message, it says error sending. i know its giving problem because its a dual sim phone, text secure app is not able to send sms from particular sim and giving this error. Is dual sim phone supported by textSecure?
####
Reason: The sentence is incomplete and is missing a word at the end. 
####
Extracted Syntactic ambiguity segment: friends.
####
Clarifying Question(s): "
2,83-Signal ,Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.,identity key synchronization,"When referring to 'identity key synchronization', are you referring to the app's execution of synchronization, the user experience when accessing this feature in the app, or something else?","[""When referring to 'identity key synchronization', are you referring to the app's execution of synchronization, the user experience when accessing this feature in the app, or something else?""]","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 83 | Request Title - Better identity key synchronization | Request Description - No description provided.
####
Reason: Words may have been omitted for brevity that would clarify whether the user was unhappy with the application's performance or the user experience when accessing that feature
####
Extracted Syntactic ambiguity segment: identity key synchronization
####
Clarifying Question(s): "
11,6362-Signal,"Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.",many contacts,"When you wrote ""contacts"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?","['When you wrote ""contacts"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.
####
Reason: A word may have been omitted for brevity that provides context, and assumptions made in its absence create multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: many contacts
####
Clarifying Question(s): "
12,6362-Signal,"Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.",my contacts,"When you wrote ""my contacts"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?","['When you wrote ""my contacts"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.
####
Reason: A word may have been omitted for brevity that provides context, and assumptions made in its absence create multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: my contacts
####
Clarifying Question(s): "
21,170-Mastodon,Request Number - 170 | Request Title - Option to hide reblogs from people you follow | Request Description - In the dropdown on profiles.,from people you follow,"When you wrote ""hide reblogs from people you follow"", did you mean your reblogs are hidden from people you follow, reblogs from people you follow are hidden from you, or something else?","['When you wrote ""hide reblogs from people you follow"", did you mean your reblogs are hidden from people you follow, reblogs from people you follow are hidden from you, or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 170 | Request Title - Option to hide reblogs from people you follow | Request Description - In the dropdown on profiles.
####
Reason: The highlighted prepositional phrase can attach to multiple targets in the sentence, which creates multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: from people you follow
####
Clarifying Question(s): "
13,6362-Signal,"Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.",of contacts,"When you wrote ""of contacts I still need to convince to convert"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?","['When you wrote ""of contacts I still need to convince to convert"", are you referring to Signal contacts, phone contacts, contacts on other linkable applications (e.g. Facebook, Hangouts, etc.), or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.
####
Reason: A word may have been omitted for brevity that provides context, and assumptions made in its absence create multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: of contacts
####
Clarifying Question(s): "
14,6362-Signal,"Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.",convert.,"When you wrote ""convince to convert"", did you mean convert to using the Signal app, convert their contact relationship in another app to the Signal app, convert to the behavior of using encryption, or something else?","['When you wrote ""convince to convert"", did you mean convert to using the Signal app, convert their contact relationship in another app to the Signal app, convert to the behavior of using encryption, or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.
####
Reason: A word may have been omitted for brevity that provides context, and assumptions made in its absence create multiple possible interpretations.
####
Extracted Syntactic ambiguity segment: convert.
####
Clarifying Question(s): "
3,276-Signal,"Request Number - 276 | Request Title - Saving Attachments - where do they go? | Request Description - This is hopefully a daft question, but I can't find the answer anywhere. I've received a nice picture via MMS into TextSecure 0.9.9.7. It looks okay in the message thread, and clicking it gives me the warning about needing to decrypt it, but then it loads perfectly into my image viewer. If I tap+hold the image, I'm then warned about needing to decrypt it to put it on the external SD card, it then takes maybe half a second while it says ""Saving attachment..."", and then ""Success"" flashes up. Despite all of this, I can't find the attachment anywhere on my phone :-( (I've used ES File Explorer to search for various filenames, but to no avail). I had a look in the source code; it looks like it's saving to Environment.getExternalStorageDirectory(), but none of the obvious locations seem to have the picture in them. Any idea where attachments end up? (If it matters, I'm using a Samsung Galaxy S2 GT-I9100 running Jellybean 4.1.2).",the source code;,"When you say you ""looked at the source code"", do you mean the application's source code, the phone's operating system source code, or something else?","['When you say you ""looked at the source code"", do you mean the application\'s source code, the phone\'s operating system source code, or something else?']","Syntactic ambiguity: a given sequence of words can be given more than one grammatical structure, and each has a different meaning. In the terminology of compiler construction, syntactic ambiguity occurs when a sentence has more than one parse.
You are a software analyst specializing in Syntactic ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Syntactic ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Syntactic ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Request Number - 276 | Request Title - Saving Attachments - where do they go? | Request Description - This is hopefully a daft question, but I can't find the answer anywhere. I've received a nice picture via MMS into TextSecure 0.9.9.7. It looks okay in the message thread, and clicking it gives me the warning about needing to decrypt it, but then it loads perfectly into my image viewer. If I tap+hold the image, I'm then warned about needing to decrypt it to put it on the external SD card, it then takes maybe half a second while it says ""Saving attachment..."", and then ""Success"" flashes up. Despite all of this, I can't find the attachment anywhere on my phone :-( (I've used ES File Explorer to search for various filenames, but to no avail). I had a look in the source code; it looks like it's saving to Environment.getExternalStorageDirectory(), but none of the obvious locations seem to have the picture in them. Any idea where attachments end up? (If it matters, I'm using a Samsung Galaxy S2 GT-I9100 running Jellybean 4.1.2).
####
Reason: A word qualifying the origin of the source code was omitted for brevity, creating multiple possible meanings.
####
Extracted Syntactic ambiguity segment: the source code;
####
Clarifying Question(s): "
